序号,招聘信息id,公司地址,招聘岗位,公司类型,最低薪资,最高薪资,员工数量,学历,岗位经验,企业名称,企业类型
386,1482196280712232993,广州天河区,数据分析师,50-100人,10000,15000,合资,3,1,新意互动,"[""互联网""]"
387,1482196280712232992,广州天河区,数据分析师,50-100人,10000,15000,合资,3,1,新意互动,"[""互联网""]"
388,1482196280712232991,广州天河区,数据分析师（广州）,50-100人,7000,10000,合资,3,0,蓝色光标,"[""互联网""]"
389,1482196280712232990,广州越秀区,人力资源数据分析师,50-100人,8000,15000,合资,3,0,百胜餐饮(广东)有限公司广州物流中心,"[""互联网""]"
390,1482196280712232989,广州越秀区,人力资源数据分析师,50-100人,8000,15000,合资,3,0,百胜餐饮(广东)有限公司广州物流中心,"[""互联网""]"
391,1482196280712232988,广州,高级数据分析师/主管,50-100人,15000,25000,合资,3,3,佰聆数据,"[""互联网""]"
392,1482196280712232987,广州越秀区,数据分析师,50-100人,12000,18000,合资,2,0,佰聆数据,"[""互联网""]"
393,1482196280712232986,广州,高级数据分析师/主管,50-100人,15000,25000,合资,3,3,佰聆数据,"[""互联网""]"
394,1482196280712232985,广州越秀区,数据分析师,50-100人,12000,18000,合资,2,0,佰聆数据,"[""互联网""]"
395,1482196280712232984,广州黄埔区,产品经理,50-100人,9000,15000,合资,3,3,佰聆数据,"[""互联网""]"
396,1482196280712232983,广州,大数据产品经理,50-100人,15000,30000,合资,3,5,佰聆数据,"[""互联网""]"
397,1482196280712232982,广州天河区,高级产品经理,50-100人,25000,35000,合资,3,3,用友融联,"[""互联网""]"
398,1482196280712232981,广州越秀区,etl开发工程师,50-100人,7000,13000,合资,3,0,北京创景咨询有限公司,"[""互联网""]"
399,1482196280712232980,广州,ETL数据库开发工程师,50-100人,10000,18000,合资,3,1,泛鹏天地,"[""互联网""]"
400,1482196280712232979,广州天河区,NLP算法工程师,50-100人,20000,35000,合资,3,1,Flow++,"[""互联网""]"
401,1482196280712232978,广州,产品经理,50-100人,10000,20000,合资,3,1,海量数据,"[""互联网""]"
402,1482196280712232977,广州天河区,产品行销经理,50-100人,10000,20000,合资,3,1,海量数据,"[""互联网""]"
403,1482196280712232976,广州天河区,测试经理（数据库产品）,50-100人,16000,30000,合资,3,5,海量数据,"[""互联网""]"
404,1482196280712232975,广州,医学统计/数据管理专员,50-100人,6000,8000,合资,2,1,北京合瑞阳光医药科技有限公司,"[""互联网""]"
405,1482196280712232974,广州天河区,BA Data analyst 数据分析师,50-100人,10000,15000,合资,2,3,北京互联企信信息技术有限公司,"[""互联网""]"
406,1482196280712232973,广州天河区,BA Data analyst 数据分析师,50-100人,10000,15000,合资,2,3,北京互联企信信息技术有限公司,"[""互联网""]"
407,1482196280712232972,广州海珠区,国际化广告数据分析师,50-100人,10000,25000,合资,3,5,字节跳动,"[""互联网""]"
408,1482196280712232971,广州天河区,数据分析师 - 国际化直播,50-100人,30000,50000,合资,3,5,字节跳动,"[""互联网""]"
409,1482196280712232970,广州,数据分析师,50-100人,30000,50000,合资,3,5,字节跳动,"[""互联网""]"
410,1482196280712232969,广州海珠区,资深游戏数据分析师,50-100人,20000,35000,合资,3,5,字节跳动,"[""互联网""]"
411,1482196280712232968,广州海珠区,国际化广告数据分析师,50-100人,10000,25000,合资,3,5,字节跳动,"[""互联网""]"
412,1482196280712232967,广州天河区,数据分析师 - 国际化直播,50-100人,30000,50000,合资,3,5,字节跳动,"[""互联网""]"
413,1482196280712232966,广州,数据分析师,50-100人,30000,50000,合资,3,5,字节跳动,"[""互联网""]"
414,1482196280712232965,广州海珠区,资深游戏数据分析师,50-100人,20000,35000,合资,3,5,字节跳动,"[""互联网""]"
415,1482196280712232964,广州海珠区,资深游戏数据分析师,50-100人,20000,35000,合资,3,5,字节跳动,"[""互联网""]"
416,1482196280712232963,广州海珠区,游戏数据研究员,50-100人,10000,20000,合资,3,3,字节跳动,"[""互联网""]"
417,1482196280712232962,广州海珠区,商业化数据产品经理,50-100人,15000,35000,合资,3,3,字节跳动,"[""互联网""]"
418,1482196280712232961,广州天河区,数据产品经理（稻壳）,50-100人,20000,25000,合资,3,3,金山办公软件,"[""互联网""]"
419,1482196280712232960,广州黄埔区,数据分析师,50-100人,10000,18000,合资,2,3,京东,"[""互联网""]"
420,1482196280708038656,广州黄埔区,数据分析师,50-100人,10000,18000,合资,2,3,京东,"[""互联网""]"
421,1482196148415496217,广州天河区,产品经理,50-100人,15000,20000,合资,3,3,北京西骏数据科技股份有限公司,"[""互联网""]"
422,1482196148415496216,广州,数据产品技术经理,50-100人,15000,25000,合资,3,5,先进数通,"[""互联网""]"
423,1482196148415496215,广州天河区,数据分析师,50-100人,10000,15000,合资,3,1,新意互动,"[""互联网""]"
424,1482196148415496214,广州天河区,数据分析师,50-100人,10000,15000,合资,3,1,新意互动,"[""互联网""]"
425,1482196148415496213,广州天河区,数据分析师（广州）,50-100人,7000,10000,合资,3,0,蓝色光标,"[""互联网""]"
426,1482196148415496212,广州天河区,数据分析师（广州）,50-100人,7000,10000,合资,3,0,蓝色光标,"[""互联网""]"
427,1482196148415496211,广州天河区,产品经理,50-100人,12000,18000,合资,3,3,蓝色光标,"[""互联网""]"
428,1482196148415496210,广州黄埔区,产品经理,50-100人,8000,13000,合资,3,1,蓝色光标,"[""互联网""]"
429,1482196148415496209,广州黄埔区,高级产品经理,50-100人,15000,20000,合资,3,3,蓝色光标,"[""互联网""]"
430,1482196148415496208,广州黄埔区,大数据产品经理,50-100人,15000,20000,合资,3,3,蓝色光标,"[""互联网""]"
431,1482196148415496207,广州黄埔区,运营数据产品经理,50-100人,15000,20000,合资,3,3,蓝色光标,"[""互联网""]"
432,1482196148415496206,广州海珠区,数据治理工程师-广州,50-100人,12000,19000,合资,2,5,领雁科技,"[""互联网""]"
433,1482196148415496205,广州海珠区,中级数据分析师-广州,50-100人,10000,15000,合资,3,3,领雁科技,"[""互联网""]"
434,1482196148415496204,广州海珠区,中级数据分析师-广州,50-100人,10000,15000,合资,3,3,领雁科技,"[""互联网""]"
435,1482196148415496203,广州海珠区,产品经理（支付/后端）,50-100人,10000,20000,合资,3,3,北京路客互联网科技有限公司,"[""互联网""]"
436,1482196148415496202,广州,数据分析师/高级数据分析师(J13098),50-100人,15000,25000,合资,3,3,明略科技集团,"[""互联网""]"
437,1482196148415496201,广州,数据分析师/高级数据分析师(J13098),50-100人,15000,25000,合资,3,3,明略科技集团,"[""互联网""]"
438,1482196148415496200,广州海珠区,高级数据产品经理,50-100人,20000,30000,合资,3,5,明略科技集团,"[""互联网""]"
439,1482196148415496199,广州海珠区,TiDB数据库高级产品经理,50-100人,30000,50000,合资,3,5,PingCAP,"[""互联网""]"
440,1482196148415496198,广州,数据库内核产品经理,50-100人,20000,45000,合资,3,10,PingCAP,"[""互联网""]"
441,1482196148415496197,广州海珠区,高级数据分析师,50-100人,15000,28000,合资,3,3,全量全速,"[""互联网""]"
442,1482196148415496196,广州海珠区,资深数据分析师,50-100人,20000,30000,合资,3,3,全量全速,"[""互联网""]"
443,1482196148415496195,广州海珠区,高级数据分析师,50-100人,15000,28000,合资,3,3,全量全速,"[""互联网""]"
444,1482196148415496194,广州海珠区,资深数据分析师,50-100人,20000,30000,合资,3,3,全量全速,"[""互联网""]"
