序号,招聘信息id,公司地址,招聘岗位,公司类型,最低薪资,最高薪资,员工数量,学历,岗位经验,企业名称,企业类型
736,1482194903424434188,广州天河区,医学数据分析师,50-100人,8000,15000,合资,3,3,广州海鹚网络科技有限公司,"[""互联网""]"
737,1482194903424434187,广州海珠区,BA商业分析师/数据分析师,50-100人,8000,10000,合资,3,1,瀚翼扬,"[""互联网""]"
738,1482194903424434186,广州海珠区,BA商业分析师/数据分析师,50-100人,8000,10000,合资,3,1,瀚翼扬,"[""互联网""]"
739,1482194903424434185,广州黄埔区,数据分析师,50-100人,10000,15000,合资,3,1,广州好推网络科技有限公司,"[""互联网""]"
740,1482194903424434184,广州黄埔区,数据分析师,50-100人,10000,15000,合资,3,1,广州好推网络科技有限公司,"[""互联网""]"
741,1482194903424434183,广州黄埔区,数据分析师,50-100人,10000,15000,合资,3,1,广州好推网络科技有限公司,"[""互联网""]"
742,1482194903424434182,广州黄埔区,数据分析师,50-100人,10000,15000,合资,3,1,广州好推网络科技有限公司,"[""互联网""]"
743,1482194903424434181,广州黄埔区,大数据产品销售经理,50-100人,10000,30000,合资,2,3,广州衡昊数据科技有限公司,"[""互联网""]"
744,1482194903424434180,广州天河区,数据分析专员,50-100人,7000,10000,合资,3,1,泓信供应链,"[""互联网""]"
745,1482194903424434179,广州天河区,数据分析师,50-100人,13000,20000,合资,3,3,泓信供应链,"[""互联网""]"
746,1482194903424434178,广州天河区,数据分析师,50-100人,13000,20000,合资,3,3,泓信供应链,"[""互联网""]"
747,1482194903424434177,广州番禺区,数据产品经理,50-100人,15000,30000,合资,3,1,虎牙HUYA,"[""互联网""]"
748,1482194903424434176,广州,计算机视觉算法工程师（深度...,50-100人,20000,40000,合资,4,3,虎牙HUYA,"[""互联网""]"
749,1482194903420239908,广州番禺区,计算机视觉算法工程师 (MJ000510),50-100人,20000,40000,合资,4,3,虎牙HUYA,"[""互联网""]"
750,1482194903420239907,广州,计算机视觉算法高级工程师-AI审核方向,50-100人,30000,60000,合资,4,3,虎牙HUYA,"[""互联网""]"
751,1482194903420239906,广州,数据分析师,50-100人,15000,20000,合资,2,3,花生日记,"[""互联网""]"
752,1482194903420239905,广州,数据分析师,50-100人,15000,20000,合资,2,3,花生日记,"[""互联网""]"
753,1482194903420239904,广州,高级nlp算法工程师,50-100人,25000,35000,合资,4,3,欢聚集团,"[""互联网""]"
754,1482194903420239903,广州番禺区,NLP算法工程师 (MJ003321),50-100人,25000,50000,合资,3,3,欢聚集团,"[""互联网""]"
755,1482194903420239902,广州,NLP高级工程师,50-100人,10000,15000,合资,4,3,欢聚集团,"[""互联网""]"
756,1482194903420239901,广州,数据分析师 (MJ003742),50-100人,15000,30000,合资,3,1,欢聚集团,"[""互联网""]"
757,1482194903420239900,广州番禺区,数据分析师（电商） (MJ004080),50-100人,15000,30000,合资,3,3,欢聚集团,"[""互联网""]"
758,1482194903420239899,广州番禺区,数据分析师（国际化） (MJ003534),50-100人,18000,28000,合资,3,3,欢聚集团,"[""互联网""]"
759,1482194903420239898,广州番禺区,数据分析师 (MJ003570),50-100人,15000,30000,合资,3,3,欢聚集团,"[""互联网""]"
760,1482194903420239897,广州,数据分析师 (MJ003742),50-100人,15000,30000,合资,3,1,欢聚集团,"[""互联网""]"
761,1482194903420239896,广州番禺区,数据分析师（电商） (MJ004080),50-100人,15000,30000,合资,3,3,欢聚集团,"[""互联网""]"
762,1482194903420239895,广州番禺区,数据分析师（国际化） (MJ003534),50-100人,18000,28000,合资,3,3,欢聚集团,"[""互联网""]"
763,1482194903420239894,广州番禺区,数据分析师 (MJ003570),50-100人,15000,30000,合资,3,3,欢聚集团,"[""互联网""]"
764,1482194903420239893,广州,数据平台产品经理,50-100人,25000,40000,合资,3,3,欢聚集团,"[""互联网""]"
765,1482194903420239892,广州番禺区,数据平台产品经理 (MJ004500),50-100人,20000,40000,合资,3,3,欢聚集团,"[""互联网""]"
766,1482194903420239891,广州,数据产品经理/专家,50-100人,20000,40000,合资,3,5,欢聚集团,"[""互联网""]"
767,1482194903420239890,广州番禺区,数据产品经理 (MJ003187),50-100人,20000,40000,合资,3,5,欢聚集团,"[""互联网""]"
768,1482194903420239889,广州番禺区,数据产品经理（电商） (MJ004437),50-100人,20000,40000,合资,3,3,欢聚集团,"[""互联网""]"
769,1482194903420239888,广州,数据安全产品经理 (MJ004420),50-100人,25000,45000,合资,3,3,欢聚集团,"[""互联网""]"
770,1482194903420239887,广州,数据产品经理 (MJ000702),50-100人,13000,20000,合资,3,1,欢聚集团,"[""互联网""]"
771,1482194903420239886,广州番禺区,计算机视觉算法工程师 (MJ004259),50-100人,20000,35000,合资,4,0,欢聚集团,"[""互联网""]"
772,1482194903420239885,广州番禺区,计算机视觉算法工程师 (MJ001970),50-100人,25000,40000,合资,4,3,欢聚集团,"[""互联网""]"
773,1482194903420239884,广州,电商运营,50-100人,3000,6000,合资,1,1,广州华研文化传播有限公司,"[""互联网""]"
774,1482194903420239883,广州天河区,天猫助理,50-100人,4000,6000,合资,1,0,广州华研文化传播有限公司,"[""互联网""]"
775,1482194903420239882,广州,电商助理,50-100人,4000,6000,合资,1,0,广州华研文化传播有限公司,"[""互联网""]"
776,1482194903420239881,广州天河区,环保数据分析员,50-100人,5000,6000,合资,3,0,广州华粤科技有限公司,"[""互联网""]"
777,1482194903420239880,广州天河区,数据产品经理,50-100人,18000,25000,合资,2,5,广州回头车信息科技有限公司,"[""互联网""]"
778,1482194903420239879,广州天河区,图像&NLP 算法工程师(J10323),50-100人,25000,45000,合资,4,3,汇量信息科技,"[""互联网""]"
779,1482194903420239878,广州,数据分析师,50-100人,12000,20000,合资,3,3,菲鹿儿,"[""互联网""]"
780,1482194903420239877,广州,数据分析师,50-100人,12000,20000,合资,3,3,菲鹿儿,"[""互联网""]"
781,1482194903420239876,广州,数据产品经理,50-100人,20000,30000,合资,3,5,菲鹿儿,"[""互联网""]"
782,1482194903420239875,广州,NLP算法工程师 (MJ000080),50-100人,20000,30000,合资,3,3,广州极飞科技股份有限公司,"[""互联网""]"
783,1482194903420239874,广州,产品经理,50-100人,12000,24000,合资,3,5,广州佳都数据服务有限公司,"[""互联网""]"
784,1482194903420239873,广州,数据分析专员,50-100人,7000,10000,合资,2,1,广州嘉检医学检测有限公司,"[""互联网""]"
785,1482194903420239872,广州黄埔区,高级产品经理（大数据平台）,50-100人,30000,40000,合资,3,10,健新科技,"[""互联网""]"
786,1482194903416045590,广州番禺区,亚马逊产品开发（数据分析员）（美妆个护时尚方向）,50-100人,8000,13000,合资,2,1,广州金菇棒电子商务有限公司,"[""互联网""]"
787,1482194903416045589,广州海珠区,数据产品经理(J12754),50-100人,18000,25000,合资,3,3,金域检验集团,"[""互联网""]"
788,1482194903416045588,广州,大数据开发工程师（数据治理）,50-100人,15000,20000,合资,3,3,广州金越软件技术有限公司,"[""互联网""]"
789,1482194903416045587,广州,java开发工程师（数据治理）,50-100人,15000,20000,合资,3,3,广州金越软件技术有限公司,"[""互联网""]"
790,1482194903416045586,广州,大数据产品经理-公安行业,50-100人,15000,20000,合资,3,3,广州金越软件技术有限公司,"[""互联网""]"
791,1482194903416045585,广州,nlp算法工程师,50-100人,10000,18000,合资,4,0,广州经传多赢投资咨询有限公司,"[""互联网""]"
792,1482194903416045584,广州,NLP算法工程师（接受优秀应届毕业生）,50-100人,10000,20000,合资,4,1,广州经传多赢投资咨询有限公司,"[""互联网""]"
793,1482194903416045583,广州,nlp算法工程师,50-100人,15000,39000,合资,3,1,广州经传多赢投资咨询有限公司,"[""互联网""]"
794,1482194903416045582,广州,数据分析师（接受优秀应届生）,50-100人,8000,15000,合资,3,1,广州经传多赢投资咨询有限公司,"[""互联网""]"
795,1482194903416045581,广州,数据分析师（接受优秀应届生）,50-100人,8000,15000,合资,3,1,广州经传多赢投资咨询有限公司,"[""互联网""]"
796,1482194903416045580,广州,金融数据采编/数据产品经理,50-100人,6000,12000,合资,3,0,广州经传多赢投资咨询有限公司,"[""互联网""]"
797,1482194903416045579,广州天河区,资深NLP算法工程师,50-100人,20000,50000,合资,3,5,94智能,"[""互联网""]"
798,1482194903416045578,广州天河区,NLP算法工程师,50-100人,20000,50000,合资,3,5,94智能,"[""互联网""]"
799,1482194903416045577,广州,数据分析专员,50-100人,6000,8000,合资,2,1,广州聚福电子商务有限公司,"[""互联网""]"
800,1482194903416045576,广州天河区,数据产品经理,50-100人,16000,22000,合资,3,3,卡姿兰集团,"[""互联网""]"
801,1482194903416045575,广州越秀区,数据分析师,50-100人,6000,13000,合资,3,0,广州快决测信息科技有限公司,"[""互联网""]"
802,1482194903416045574,广州越秀区,数据分析师,50-100人,6000,13000,合资,3,0,广州快决测信息科技有限公司,"[""互联网""]"
803,1482194903416045573,广州海珠区,数据产品经理 / BI实施顾问 (职位编号：CP10),50-100人,15000,26000,合资,3,5,快批KP,"[""互联网""]"
804,1482194903416045572,广州,BI工程师,50-100人,10000,20000,合资,3,3,广州快塑电子科技有限公司,"[""互联网""]"
805,1482194903416045571,广州,数据分析师,50-100人,10000,11000,合资,3,3,乐药集团,"[""互联网""]"
806,1482194903416045570,广州,数据分析师,50-100人,10000,11000,合资,3,3,乐药集团,"[""互联网""]"
807,1482194903416045569,广州天河区,数据产品经理(J34YP),50-100人,20000,30000,合资,3,3,荔枝集团,"[""互联网""]"
808,1482194903416045568,广州黄埔区,数据产品经理,50-100人,15000,25000,合资,3,3,广州六一信息科技有限公司,"[""互联网""]"
809,1482194457230180353,广州,资深数据分析师,50-100人,20000,30000,合资,3,0,龙腾出行,"[""互联网""]"
810,1482194457230180352,广州,高级数据分析师,50-100人,15000,30000,合资,2,5,龙腾出行,"[""互联网""]"
811,1482194457225986077,广州,资深数据分析师,50-100人,20000,30000,合资,3,0,龙腾出行,"[""互联网""]"
812,1482194457225986076,广州,高级数据分析师,50-100人,15000,30000,合资,2,5,龙腾出行,"[""互联网""]"
813,1482194457225986075,广州,自然语言处理算法工程师,50-100人,30000,50000,合资,3,3,广州迈步网络技术有限公司,"[""互联网""]"
814,1482194457225986074,广州,数据分析师,50-100人,15000,25000,合资,3,1,麦和日用品,"[""互联网""]"
815,1482194457225986073,广州,数据分析师,50-100人,15000,25000,合资,3,1,麦和日用品,"[""互联网""]"
816,1482194457225986072,广州天河区,高级数据分析师,50-100人,13000,18000,合资,3,1,麦优科技,"[""互联网""]"
817,1482194457225986071,广州,高级数据分析师,50-100人,13000,20000,合资,3,3,麦优科技,"[""互联网""]"
818,1482194457225986070,广州天河区,高级数据分析师,50-100人,13000,18000,合资,3,1,麦优科技,"[""互联网""]"
819,1482194457225986069,广州,高级数据分析师,50-100人,13000,20000,合资,3,3,麦优科技,"[""互联网""]"
820,1482194457225986068,广州荔湾区,数据分析师,50-100人,5000,7000,合资,2,1,广州茂建药业有限公司,"[""互联网""]"
821,1482194457225986067,广州荔湾区,数据分析师,50-100人,5000,7000,合资,2,1,广州茂建药业有限公司,"[""互联网""]"
822,1482194457225986066,广州,数据分析师,50-100人,12000,20000,合资,3,1,奶糖派,"[""互联网""]"
823,1482194457225986065,广州,数据分析师,50-100人,12000,20000,合资,3,1,奶糖派,"[""互联网""]"
824,1482194457225986064,广州,行业调研数据分析师（广州-校招）ID94080,50-100人,8000,12000,合资,3,0,尼尔森,"[""互联网""]"
825,1482194457225986063,广州,行业调研数据分析师（广州-校招）ID94080,50-100人,8000,12000,合资,3,0,尼尔森,"[""互联网""]"
826,1482194457225986062,广州白云区,数据分析师(编号D1#0723）,50-100人,6000,10000,合资,2,1,广州欧博化妆品有限公司,"[""互联网""]"
827,1482194457225986061,广州白云区,数据分析师(编号D1#0723）,50-100人,6000,10000,合资,2,1,广州欧博化妆品有限公司,"[""互联网""]"
828,1482194457225986060,广州黄埔区,计算机视觉算法研究工程师,50-100人,15000,20000,合资,3,1,广州欧科,"[""互联网""]"
829,1482194457225986059,广州,计算机视觉算法研究工程师,50-100人,15000,25000,合资,3,3,广州欧科,"[""互联网""]"
830,1482194457225986058,广州,电商数据分析专员,50-100人,10000,15000,合资,2,1,欧莱雅百库,"[""互联网""]"
831,1482194457225986057,广州天河区,数据分析师,50-100人,15000,20000,合资,3,3,广州麒升信息科技有限公司,"[""互联网""]"
832,1482194457225986056,广州天河区,数据分析师,50-100人,15000,20000,合资,3,3,广州麒升信息科技有限公司,"[""互联网""]"
833,1482194457225986055,广州黄埔区,数据分析师-[465681],50-100人,25000,35000,合资,3,3,广州启盟信息科技有限公司,"[""互联网""]"
834,1482194457225986054,广州黄埔区,数据分析师-[465681],50-100人,25000,35000,合资,3,3,广州启盟信息科技有限公司,"[""互联网""]"
835,1482194457225986053,广州,NLP算法工程师(J10631),50-100人,20000,40000,合资,4,3,趣丸,"[""互联网""]"
836,1482194457225986052,广州天河区,NLP算法工程师(J10631),50-100人,20000,50000,合资,3,3,趣丸,"[""互联网""]"
837,1482194457225986051,广州天河区,高级数据分析师(业务分析)(J10275),50-100人,20000,40000,合资,3,3,趣丸,"[""互联网""]"
838,1482194457225986050,广州天河区,数据分析师（海外）(J10744),50-100人,15000,30000,合资,3,0,趣丸,"[""互联网""]"
839,1482194457225986049,广州天河区,高级数据分析师(业务分析)(J10275),50-100人,20000,40000,合资,3,3,趣丸,"[""互联网""]"
840,1482194457225986048,广州天河区,数据分析师（海外）(J10744),50-100人,15000,30000,合资,3,0,趣丸,"[""互联网""]"
841,1482194394982514694,广州,数据产品经理,50-100人,30000,40000,合资,3,3,圈量科技,"[""互联网""]"
842,1482194394982514693,广州海珠区,数据产品经理,50-100人,15000,30000,合资,3,3,圈量科技,"[""互联网""]"
843,1482194394982514692,广州番禺区,大数据产品经理,50-100人,18000,35000,合资,3,1,广州融山信息科技有限公司,"[""互联网""]"
844,1482194394982514691,广州天河区,大数据产品销售经理,50-100人,15000,23000,合资,3,3,广州睿帆科技有限公司,"[""互联网""]"
845,1482194394982514690,广州黄埔区,BI数据分析师,50-100人,8000,12000,合资,2,1,若羽臣,"[""互联网""]"
846,1482194394982514689,广州,数据分析师/数据研究员,50-100人,8000,15000,合资,3,3,若羽臣,"[""互联网""]"
847,1482194394982514688,广州,数据分析师/数据研究员,50-100人,8000,15000,合资,3,3,若羽臣,"[""互联网""]"
848,1482194394978320397,广州天河区,数据分析师(J10790),50-100人,8000,12000,合资,3,1,蜜雪冰城,"[""互联网""]"
849,1482194394978320396,广州天河区,数据分析师(J10790),50-100人,8000,12000,合资,3,1,蜜雪冰城,"[""互联网""]"
850,1482194394978320395,广州,NLP算法工程师,50-100人,30000,60000,合资,4,3,广州尚宸,"[""互联网""]"
851,1482194394978320394,广州天河区,nlp算法工程师,50-100人,15000,30000,合资,3,0,广州深声科技有限公司,"[""互联网""]"
852,1482194394978320393,广州海珠区,数据产品经理,50-100人,30000,35000,合资,3,3,广州深衣,"[""互联网""]"
853,1482194394978320392,广州海珠区,电商数据产品经理,50-100人,20000,35000,合资,3,3,广州深衣,"[""互联网""]"
854,1482194394978320391,广州白云区,数据分析师,50-100人,10000,20000,合资,3,3,广州盛为电子商务有限公司,"[""互联网""]"
855,1482194394978320390,广州白云区,数据分析师,50-100人,10000,20000,合资,3,3,广州盛为电子商务有限公司,"[""互联网""]"
856,1482194394978320389,广州天河区,数据分析师,50-100人,15000,30000,合资,3,1,诗悦,"[""互联网""]"
857,1482194394978320388,广州天河区,数据分析师,50-100人,15000,30000,合资,3,1,诗悦,"[""互联网""]"
858,1482194394978320387,广州天河区,数据产品经理,50-100人,15000,25000,合资,3,0,诗悦,"[""互联网""]"
859,1482194394978320386,广州海珠区,数据分析专员,50-100人,7000,10000,合资,2,1,河盛集团,"[""互联网""]"
860,1482194394978320385,广州白云区,数据分析师,50-100人,8000,15000,合资,3,1,丹姿集团,"[""互联网""]"
861,1482194394978320384,广州白云区,数据分析师,50-100人,8000,15000,合资,3,1,丹姿集团,"[""互联网""]"
862,1482194288887595023,广州番禺区,数据分析师,50-100人,18000,28000,合资,3,3,BIGO LIVE,"[""互联网""]"
863,1482194288887595022,广州番禺区,数据分析师,50-100人,18000,28000,合资,3,3,BIGO LIVE,"[""互联网""]"
864,1482194288887595021,广州番禺区,BIGO_图像处理和深度学习工程师（资深）（北京/广州/上海/新加坡） (MJ003262),50-100人,30000,60000,合资,2,3,BIGO LIVE,"[""互联网""]"
865,1482194288887595020,广州番禺区,图形图像算法工程师（广州/北京）,50-100人,30000,60000,合资,3,0,BIGO LIVE,"[""互联网""]"
866,1482194288887595019,广州番禺区,计算机视觉算法工程师,50-100人,30000,60000,合资,3,0,BIGO LIVE,"[""互联网""]"
867,1482194288887595018,广州越秀区,数据部产品经理,50-100人,8000,12000,合资,2,0,广州市倍儿行科技有限公司,"[""互联网""]"
868,1482194288887595017,广州越秀区,大数据产品经理/主管,50-100人,8000,12000,合资,2,0,广州市倍儿行科技有限公司,"[""互联网""]"
869,1482194288887595016,广州越秀区,互联网/大数据产品经理,50-100人,8000,12000,合资,2,0,广州市倍儿行科技有限公司,"[""互联网""]"
870,1482194288887595015,广州黄埔区,数据分析师（业务分析）+周末双休+朝九晚六,50-100人,7000,10000,合资,2,1,Skyee,"[""互联网""]"
871,1482194288887595014,广州黄埔区,数据分析师（业务分析）+周末双休+朝九晚六,50-100人,7000,10000,合资,2,1,Skyee,"[""互联网""]"
872,1482194288887595013,广州黄埔区,数据分析师（业务分析）+周末双休+朝九晚六,50-100人,7000,10000,合资,2,1,Skyee,"[""互联网""]"
873,1482194288887595012,广州荔湾区,高级运营数据分析师,50-100人,15000,25000,合资,3,3,高奈特网络科技,"[""互联网""]"
874,1482194288887595011,广州荔湾区,高级运营数据分析师,50-100人,15000,25000,合资,3,3,高奈特网络科技,"[""互联网""]"
875,1482194288887595010,广州,银行数据分析师,50-100人,13000,22000,合资,3,3,海捷,"[""互联网""]"
876,1482194288887595009,广州,银行数据分析师,50-100人,13000,22000,合资,3,3,海捷,"[""互联网""]"
877,1482194288887595008,广州天河区,数据分析师,50-100人,8000,15000,合资,3,0,鼎实-复利资产配置,"[""互联网""]"
878,1482194288883400706,广州天河区,数据分析师,50-100人,8000,15000,合资,3,0,鼎实-复利资产配置,"[""互联网""]"
879,1482194288883400705,广州天河区,宝洁项目运营数据分析专员,50-100人,6000,8000,合资,2,1,广州市华好日用品,"[""互联网""]"
880,1482194288883400704,广州天河区,数据分析专员,50-100人,5000,6000,合资,2,1,超会买,"[""互联网""]"
881,1482194190791213067,广州,数据分析专员（新零售事业部）,50-100人,5000,10000,合资,3,3,广州市汇美时尚集团股份有限公司,"[""互联网""]"
882,1482194190791213066,广州,商品数据分析专员,50-100人,6000,8000,合资,3,1,广州市汇美时尚集团股份有限公司,"[""互联网""]"
883,1482194190791213065,广州,自然语言处理工程师（NLP）,50-100人,6000,10000,合资,4,1,广州市健坤网络科技发展有限公司,"[""互联网""]"
884,1482194190791213064,广州,数据分析员,50-100人,4000,6000,合资,2,1,广州市莱克斯顿服饰有限公司,"[""互联网""]"
885,1482194190791213063,广州白云区,数据分析专员,50-100人,5000,8000,合资,3,0,广州市利他信息科技有限公司,"[""互联网""]"
886,1482194190791213062,广州增城区,数据分析专员,50-100人,6000,8000,合资,2,1,广州市三横信息科技有限公司,"[""互联网""]"
887,1482194190791213061,广州越秀区,nlp算法工程师,50-100人,12000,20000,合资,4,0,申迪,"[""互联网""]"
888,1482194190791213060,广州越秀区,算法工程师（NLP方向）,50-100人,12000,24000,合资,4,0,申迪,"[""互联网""]"
889,1482194190791213059,广州越秀区,算法工程师（NLP方向）,50-100人,12000,24000,合资,4,1,申迪,"[""互联网""]"
890,1482194190791213058,广州越秀区,数据分析师,50-100人,10000,20000,合资,3,1,申迪,"[""互联网""]"
891,1482194190791213057,广州越秀区,数据分析师,50-100人,8000,15000,合资,3,1,申迪,"[""互联网""]"
892,1482194190791213056,广州越秀区,数据分析师,50-100人,10000,20000,合资,3,1,申迪,"[""互联网""]"
893,1482194190787018752,广州越秀区,数据分析师,50-100人,8000,15000,合资,3,1,申迪,"[""互联网""]"
894,1482194051863281666,广州黄埔区,数据分析专员,50-100人,4000,8000,合资,2,1,香雪制药,"[""互联网""]"
895,1482194051863281665,广州黄埔区,数据分析专员,50-100人,4000,5000,合资,2,1,香雪制药,"[""互联网""]"
896,1482194051863281664,广州番禺区,自然语言处理工程师（NLP）,50-100人,17000,40000,合资,3,3,新文溯科技,"[""互联网""]"
897,1482193882312736769,广州,数据分析师,50-100人,10000,15000,合资,3,0,广州 K11,"[""互联网""]"
898,1482193882312736768,广州,数据分析师,50-100人,10000,15000,合资,3,0,广州 K11,"[""互联网""]"
899,1482193772577161224,广州天河区,数据分析师,50-100人,7000,12000,合资,2,1,幸福网络,"[""互联网""]"
900,1482193772577161223,广州天河区,数据分析师,50-100人,7000,12000,合资,2,1,幸福网络,"[""互联网""]"
901,1482193772577161222,广州海珠区,数据分析师,50-100人,10000,15000,合资,3,1,广州市易工品科技有限公司,"[""互联网""]"
902,1482193772577161221,广州天河区,数据分析师,50-100人,10000,15000,合资,2,3,广州市缨格轮贸易有限公司,"[""互联网""]"
903,1482193772577161220,广州天河区,数据分析师,50-100人,10000,15000,合资,2,3,广州市缨格轮贸易有限公司,"[""互联网""]"
904,1482193772577161219,广州,数据分析师,50-100人,7000,10000,合资,3,1,广州市原象信息科技有限公司,"[""互联网""]"
905,1482193772577161218,广州,数据分析师,50-100人,7000,10000,合资,3,1,广州市原象信息科技有限公司,"[""互联网""]"
906,1482193772577161217,广州,数据分析师,50-100人,7000,10000,合资,3,1,广州市原象信息科技有限公司,"[""互联网""]"
907,1482193772577161216,广州,数据分析师,50-100人,7000,10000,合资,3,1,广州市原象信息科技有限公司,"[""互联网""]"
908,1482193656365580295,广州天河区,数据分析师,50-100人,12000,18000,合资,3,1,数说故事,"[""互联网""]"
909,1482193656365580294,广州天河区,数据分析师,50-100人,12000,18000,合资,3,1,数说故事,"[""互联网""]"
910,1482193656365580293,广州,产品经理,50-100人,15000,25000,合资,3,5,数说故事,"[""互联网""]"
911,1482193656365580292,广州天河区,数据产品经理,50-100人,13000,18000,合资,3,1,数说故事,"[""互联网""]"
912,1482193656365580291,广州天河区,数据产品经理,50-100人,12000,18000,合资,3,3,数说故事,"[""互联网""]"
913,1482193656365580290,广州,数据产品经理,50-100人,13000,18000,合资,3,3,数说故事,"[""互联网""]"
914,1482193656365580289,广州天河区,高级数据产品经理,50-100人,18000,25000,合资,3,5,数说故事,"[""互联网""]"
915,1482193656365580288,广州,数据产品经理,50-100人,12000,28000,合资,3,3,数说故事,"[""互联网""]"
916,1482193597322362884,广州,医学顾问（消化内科方向）,50-100人,10000,15000,合资,3,3,广州思德医疗科技有限公司,"[""互联网""]"
917,1482193597322362883,广州,医学专员,50-100人,6000,8000,合资,2,1,广州思德医疗科技有限公司,"[""互联网""]"
918,1482193597322362882,广州,商务/数据分析师,50-100人,15000,25000,合资,3,3,广州斯肯多媒体设计有限公司,"[""互联网""]"
919,1482193597322362881,广州,数据产品经理,50-100人,15000,20000,合资,3,3,广州斯肯多媒体设计有限公司,"[""互联网""]"
920,1482193597322362880,广州,数据分析师,50-100人,10000,15000,合资,3,3,广州斯缇纳生物科技有限公司,"[""互联网""]"
921,1482193475133898759,广州,数据分析师,50-100人,10000,15000,合资,3,3,广州斯缇纳生物科技有限公司,"[""互联网""]"
922,1482193475133898758,广州,数据分析师,50-100人,6000,10000,合资,3,1,PWU朴物大美,"[""互联网""]"
923,1482193475133898757,广州,数据分析师,50-100人,6000,10000,合资,3,1,PWU朴物大美,"[""互联网""]"
924,1482193475133898756,广州海珠区,数据分析师(业务方向),50-100人,12000,18000,合资,3,3,药师帮,"[""互联网""]"
925,1482193475133898755,广州,数据分析师（电商平台）,50-100人,12000,18000,合资,3,1,药师帮,"[""互联网""]"
926,1482193475133898754,广州海珠区,数据分析师(业务方向),50-100人,12000,18000,合资,3,3,药师帮,"[""互联网""]"
927,1482193475133898753,广州,数据分析师（电商平台）,50-100人,12000,18000,合资,3,1,药师帮,"[""互联网""]"
928,1482193475133898752,广州,数据挖掘工程师（自然语言处理）,50-100人,25000,40000,合资,3,3,太平洋网络,"[""互联网""]"
929,1482193409270743043,广州,nlp算法工程师,50-100人,20000,40000,合资,3,0,广州探迹科技有限公司,"[""互联网""]"
930,1482193409270743042,广州番禺区,NLP算法工程师（专家）,50-100人,20000,40000,合资,3,5,广州探迹科技有限公司,"[""互联网""]"
931,1482193409270743041,广州番禺区,资深NLP算法工程师,50-100人,20000,40000,合资,3,5,广州探迹科技有限公司,"[""互联网""]"
932,1482193409270743040,广州番禺区,NLP算法工程师,50-100人,15000,30000,合资,3,3,广州探迹科技有限公司,"[""互联网""]"
933,1482193409266548742,广州番禺区,爬虫架构师,50-100人,20000,40000,合资,3,5,广州探迹科技有限公司,"[""互联网""]"
934,1482193409266548741,广州番禺区,爬虫工程师,50-100人,12000,23000,合资,3,3,广州探迹科技有限公司,"[""互联网""]"
935,1482193409266548740,广州番禺区,爬虫工程师,50-100人,15000,30000,合资,3,3,广州探迹科技有限公司,"[""互联网""]"
936,1482193409266548739,广州,产品经理,50-100人,15000,20000,合资,3,3,广州探迹科技有限公司,"[""互联网""]"
937,1482193409266548738,广州,高级python爬虫工程师,50-100人,18000,35000,合资,3,3,广州探迹科技有限公司,"[""互联网""]"
938,1482193409266548737,广州黄埔区,大数据产品经理,50-100人,15000,20000,合资,3,3,广州天地互联有限公司,"[""互联网""]"
939,1482193409266548736,广州黄埔区,运营数据产品经理,50-100人,15000,20000,合资,3,3,广州天地互联有限公司,"[""互联网""]"
940,1482192989357998090,广州天河区,临床数据分析专员,50-100人,10000,15000,合资,3,1,广州天鹏计算机科技有限公司,"[""互联网""]"
941,1482192989357998089,广州,数据分析师,50-100人,10000,18000,合资,4,1,广州天鹏计算机科技有限公司,"[""互联网""]"
942,1482192989357998088,广州,生物信息数据分析员,50-100人,10000,15000,合资,3,1,广州天鹏计算机科技有限公司,"[""互联网""]"
943,1482192989357998087,广州,数据分析师,50-100人,10000,18000,合资,4,1,广州天鹏计算机科技有限公司,"[""互联网""]"
944,1482192989357998086,广州,产品经理（医疗大数据）,50-100人,15000,25000,合资,3,5,广州天鹏计算机科技有限公司,"[""互联网""]"
945,1482192989357998085,广州天河区,数据分析师,50-100人,10000,15000,合资,3,3,天维,"[""互联网""]"
946,1482192989357998084,广州天河区,数据分析师,50-100人,10000,15000,合资,3,3,天维,"[""互联网""]"
947,1482192989357998083,广州天河区,产品经理（数据类）,50-100人,20000,30000,合资,3,5,天维,"[""互联网""]"
948,1482192989357998082,广州海珠区,数据平台产品经理,50-100人,15000,30000,合资,3,3,广州图匠数据科技有限公司,"[""互联网""]"
949,1482192989357998081,广州海珠区,数据应用产品经理,50-100人,15000,30000,合资,3,1,广州图匠数据科技有限公司,"[""互联网""]"
950,1482192989357998080,广州,高级数据分析师,50-100人,8000,15000,合资,3,3,威尔森,"[""互联网""]"
951,1482192989353803800,广州,数据分析师,50-100人,5000,10000,合资,3,1,威尔森,"[""互联网""]"
952,1482192989353803799,广州南沙区,数据分析师（需驻场南沙）,50-100人,7000,12000,合资,3,0,威尔森,"[""互联网""]"
953,1482192989353803798,广州,高级数据分析师,50-100人,8000,15000,合资,3,3,威尔森,"[""互联网""]"
954,1482192989353803797,广州,数据分析师,50-100人,5000,10000,合资,3,1,威尔森,"[""互联网""]"
955,1482192989353803796,广州南沙区,数据分析师（需驻场南沙）,50-100人,7000,12000,合资,3,0,威尔森,"[""互联网""]"
956,1482192989353803795,广州天河区,项目经理（数据类产品）,50-100人,15000,25000,合资,2,5,威尔森,"[""互联网""]"
957,1482192989353803794,广州天河区,产品经理（数据产品）,50-100人,8000,15000,合资,3,3,威尔森,"[""互联网""]"
